DistOd;TypeObject;Object_Code;ObjectName;Object_Code_T;Marker;Length;Width;Depth_min;Depth_max;OrientTD;OrientBD;MPoint_Orient;MPoint_Dist;Type_Def;DistML;DistMR;DistStL;DistStR;LinkStL;LinkStR;LinkML;LinkMR;Comments;Latitude;Longtitude;Altitude
84048790;4;0;;ѕродольный шов;Ћќ∆№;;;;;12,12;;;;;;;;;;;;;;;;
84060170;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84060220;4;0;;ѕродольный шов;Ћќ∆№;;;;;5,47;;;;;;;;;;;;;;;;
84071700;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84071750;4;0;;ѕродольный шов;Ћќ∆№;;;;;5,35;;;;;;;;;;;;;;;;
84083040;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84083090;4;0;;ѕродольный шов;Ћќ∆№;;;;;6,24;;;;;;;;;;;;;;;;
84094570;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84094620;4;0;;ѕродольный шов;Ћќ∆№;;;;;7,00;;;;;;;;;;;;;;;;
84105900;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84105950;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,05;;;;;;;;;;;;;;;;
84117240;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84117290;4;0;;ѕродольный шов;Ћќ∆№;;;;;5,42;;;;;;;;;;;;;;;;
84128780;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84128830;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,11;;;;;;;;;;;;;;;;
84139950;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84140000;4;0;;ѕродольный шов;Ћќ∆№;;;;;6,24;;;;;;;;;;;;;;;;
84151420;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84151470;4;0;;ѕродольный шов;Ћќ∆№;;;;;1,11;;;;;;;;;;;;;;;;
84163060;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84163110;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,24;;;;;;;;;;;;;;;;
84174580;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84174630;4;0;;ѕродольный шов;Ћќ∆№;;;;;2,12;;;;;;;;;;;;;;;;
84185940;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84185990;4;0;;ѕродольный шов;Ћќ∆№;;;;;9,35;;;;;;;;;;;;;;;;
